position,job_url,match,date
Softwareentwickler/Fullstack-Developer (m/w/d) - Lohn & HR-Lösungen,https://www.stepstone.de/stellenangebote--Softwareentwickler-Fullstack-Developer-m-w-d-Lohn-HR-Loesungen-Home-Office-Muenchen-Berlin-Hamburg-Stuttgart-Koeln-Frankfurt-Duesseldorf-Leipzig-a-b-s-Rechenzentrum-GmbH--13867198-inline.html,Passt hervorragend,vor 4 Tagen
Senior Software Engineer Geoinformationssysteme (GIS) (all genders),https://www.stepstone.de/stellenangebote--Senior-Software-Engineer-Geoinformationssysteme-GIS-all-genders-Augsburg-Karlsruhe-Koblenz-Muenchen-Nuernberg-Saarbruecken-Stuttgart-Ulm-Walldorf-adesso-SE--13911895-inline.html,Passt hervorragend,vor 1 Woche
Software Developer (m/w/d) Java,https://www.stepstone.de/stellenangebote--Software-Developer-m-w-d-Java-Garching-bei-Muenchen-FERCHAU-Connecting-People-and-Technologies--11893091-inline.html,Passt hervorragend,vor 3 Wochen
AI Software Developer (m/w/d),https://www.stepstone.de/stellenangebote--AI-Software-Developer-m-w-d-Muenchen-CIB-software-GmbH--13941247-inline.html,Passt hervorragend,vor 3 Tagen
Senior Softwareentwickler (m/w/d),https://www.stepstone.de/stellenangebote--Senior-Softwareentwickler-m-w-d-Muenchen-INFOMOTION-GmbH--13713247-inline.html,Passt hervorragend,vor 1 Woche
Softwareentwickler (gn) C++,https://www.stepstone.de/stellenangebote--Softwareentwickler-gn-C-Graefelfing-bei-Muenchen-Ingenics-Digital-GmbH--13693999-inline.html,Passt hervorragend,vor 4 Wochen
Experienced Full Stack Software Engineer (all genders),https://www.stepstone.de/stellenangebote--Experienced-Full-Stack-Software-Engineer-all-genders-Berlin-Hamburg-Frankfurt-am-Main-Duesseldorf-Muenchen-Stuttgart-PRODYNA-SE--13799028-inline.html,Passt hervorragend,vor 1 Woche
Embedded / Middleware Software Developer (m/f/d),https://www.stepstone.de/stellenangebote--Embedded-Middleware-Software-Developer-m-f-d-Garching-bei-Muenchen-FERCHAU-Connecting-People-and-Technologies--13490826-inline.html,Passt hervorragend,vor 3 Wochen
Mitarbeiter (m/w/d) in der Anwendungsentwicklung,https://www.stepstone.de/stellenangebote--Mitarbeiter-m-w-d-in-der-Anwendungsentwicklung-Muenchen-KRAFTFAHRER-SCHUTZ-e-V--13839383-inline.html,Passt hervorragend,vor 1 Woche
Junior Software Developer (m/w/d) – Logistics Software,https://www.stepstone.de/stellenangebote--Junior-Software-Developer-m-w-d-Logistics-Software-Muenchen-Reply--13864633-inline.html,Passt hervorragend,vor 4 Tagen
Softwareentwickler Embedded Systems (m/w/d),https://www.stepstone.de/stellenangebote--Softwareentwickler-Embedded-Systems-m-w-d-Hamburg-Bremen-Kiel-Muenchen-Manching-Ulm-Donauwoerth-Friedrichshafen-Stuttgart-Bielefeld-SII-Deutschland-GmbH--13520268-inline.html,Passt hervorragend,vor 2 Wochen
Team Lead Software Development (m/w/d),https://www.stepstone.de/stellenangebote--Team-Lead-Software-Development-m-w-d-Eresing-Reverion-GmbH--13821203-inline.html,Passt gut,vor 20 Stunden
Softwareentwickler (all genders),https://www.stepstone.de/stellenangebote--Softwareentwickler-all-genders-Chemnitz-Hamburg-Ismaning-bei-Muenchen-Koeln-Passau-msg-nexinsure-ag--13936802-inline.html,Passt gut,vor 4 Tagen
AI Engineer / Software Engineer (all genders),https://www.stepstone.de/stellenangebote--AI-Engineer-Software-Engineer-all-genders-Berlin-Dortmund-Frankfurt-Hamburg-Koeln-Muenchen-Stuttgart-adesso-insurance-solutions-GmbH--13885321-inline.html,Passt gut,vor 2 Tagen
(Senior) Softwareentwickler für Echtzeit Simulationsmodelle in C++ für Radar- und Kommunikationssysteme (m/w/d),https://www.stepstone.de/stellenangebote--Senior-Softwareentwickler-fuer-Echtzeit-Simulationsmodelle-in-C-fuer-Radar-und-Kommunikationssysteme-m-w-d-Ottobrunn-bei-Muenchen-IABG-Industrieanlagen-Betriebsgesellschaft-mbH--13940583-inline.html,Passt gut,vor 3 Tagen
Software Architect (all genders),https://www.stepstone.de/stellenangebote--Software-Architect-all-genders-Berlin-Hamburg-Frankfurt-am-Main-Duesseldorf-Muenchen-Stuttgart-PRODYNA-SE--13799030-inline.html,Passt gut,vor 1 Woche
IT Software Engineer in RPG (m/f/d),https://www.stepstone.de/stellenangebote--IT-Software-Engineer-in-RPG-m-f-d-Ismaning-AND-E--13867362-inline.html,Passt gut,vor 4 Tagen
Senior Software Engineer KI (all genders),https://www.stepstone.de/stellenangebote--Senior-Software-Engineer-KI-all-genders-Stuttgart-Nuernberg-Muenchen-Karlsruhe-Ulm-Walldorf-weitere-Standorte-in-DE-adesso-SE--13949314-inline.html,Passt gut,vor 3 Tagen
Senior Software Architect (m/w/d) (Remote),https://www.stepstone.de/stellenangebote--Senior-Software-Architect-m-w-d-Remote-Muenchen-Stuttgart-Berlin-Frankfurt-Main-Leipzig-Dresden-Koeln-Hannover-Hamburg-CAL-Consult-GmbH--13761468-inline.html,Passt gut,vor 2 Wochen
Software Developer Payload Management (m/w/d),https://www.stepstone.de/stellenangebote--Software-Developer-Payload-Management-m-w-d-Penzberg-Rheinmetall--13757748-inline.html,Passt gut,vor 2 Wochen
Senior Software Engineer GenAI Enterprise Applications (all genders),https://www.stepstone.de/stellenangebote--Senior-Software-Engineer-GenAI-Enterprise-Applications-all-genders-Augsburg-Karlsruhe-Koblenz-Muenchen-Nuernberg-Saarbruecken-Stuttgart-Ulm-Walldorf-adesso-SE--13911894-inline.html,Passt gut,vor 1 Woche
Software Engineering Manager (m/f/d),https://www.stepstone.de/stellenangebote--Software-Engineering-Manager-m-f-d-Muenchen-AUGENTIC-GmbH--13841302-inline.html,Passt gut,vor 1 Woche
Lead Software Engineer (m/w/d) – Search & GenAI,https://www.stepstone.de/stellenangebote--Lead-Software-Engineer-m-w-d-Search-GenAI-Muenchen-CHECK24--13811078-inline.html,Passt gut,vor 4 Tagen
Software Architect (w/m/d),https://www.stepstone.de/stellenangebote--Software-Architect-w-m-d-Frankfurt-am-Main-Muenchen-Berlin-Karlsruhe-Hannover-Koeln-Stuttgart-Cofinpro-AG--13415905-inline.html,Passt gut,vor 3 Wochen
Softwareentwickler (m/w/d) Testautomatisierung,https://www.stepstone.de/stellenangebote--Softwareentwickler-m-w-d-Testautomatisierung-Muenchen-KNDS--13946468-inline.html,Passt gut,vor 3 Tagen
Software Developer* Cloud-Technologien,https://www.stepstone.de/stellenangebote--Software-Developer-Cloud-Technologien-Karlsruhe-Koeln-Muenchen-Hamburg-Stuttgart-Erlangen-oder-Berlin-inovex-GmbH--10621332-inline.html,Passt gut,vor 3 Wochen
Software Engineer* für Datenprojekte,https://www.stepstone.de/stellenangebote--Software-Engineer-fuer-Datenprojekte-Karlsruhe-Koeln-Muenchen-Hamburg-Stuttgart-Berlin-Erlangen-inovex-GmbH--10481680-inline.html,Passt gut,vor 1 Woche
Senior Software Engineer – Cloud & AI Integration (m/w/d),https://www.stepstone.de/stellenangebote--Senior-Software-Engineer-Cloud-AI-Integration-m-w-d-Muenchen-TekkMinds-AG--13748644-inline.html,Passt gut,vor 2 Tagen
Lead Cloud Software Architect - Pharma Solutions (w/m/x),https://www.stepstone.de/stellenangebote--Lead-Cloud-Software-Architect-Pharma-Solutions-w-m-x-Erfurt-Muenchen-Frankfurt-a-M-Stuttgart-Koeln-Hamburg-Ettlingen-Wolfsburg-Rosenheim-Berlin-NTT-DATA--13808467-inline.html,Passt gut,vor 5 Tagen
Software Engineer Systems (m/w/d) | HCPCST,https://www.stepstone.de/stellenangebote--Software-Engineer-Systems-m-w-d-HCPCST-Muenster-Karlsruhe-Aschheim-Atruvia-AG--13782516-inline.html,Passt gut,vor 1 Woche
Senior-Software-Entwickler/in | Legacy Systems (m/w/d),https://www.stepstone.de/stellenangebote--Senior-Software-Entwickler-in-Legacy-Systems-m-w-d-Ottobrunn-F-K-DELVOTEC-Bondtechnik-GmbH--13782571-inline.html,Passt gut,vor 1 Woche
Software-Entwickler (w/m/d) ABAS ERP-System,https://www.stepstone.de/stellenangebote--Software-Entwickler-w-m-d-ABAS-ERP-System-Garching-bei-Muenchen-KARE-Design-GmbH--13529123-inline.html,Passt gut,vor 3 Tagen
Digital & Agentic AI Engineer (m/w/d),https://www.stepstone.de/stellenangebote--Digital-Agentic-AI-Engineer-m-w-d-Muenchen-ARRK-Engineering-GmbH--13936805-inline.html,Passt gut,vor 4 Tagen
Software Entwickler für MS Dynamics Business Central (m/w/d),https://www.stepstone.de/stellenangebote--Software-Entwickler-fuer-MS-Dynamics-Business-Central-m-w-d-Rosenheim-Muenchen-Nuernberg-Regensburg-Ingolstadt-Wuerzburg-Bayreuth-Ulm-Stuttgart-Karlsruhe-tegos-Holding-GmbH--7077923-inline.html,Passt gut,vor 1 Woche
Senior AI Software Engineer (f/m/x),https://www.stepstone.de/stellenangebote--Senior-AI-Software-Engineer-f-m-x-Muenchen-BMW-Group--13928054-inline.html,Passt gut,vor 6 Tagen
Software Developer (m/w/d) Automation,https://www.stepstone.de/stellenangebote--Software-Developer-m-w-d-Automation-Markt-Schwaben-Koerber-Pharma-Inspection-GmbH--13916618-inline.html,Passt gut,vor 1 Woche
"Software Engineer – Java, Cloud & Microservices (m/w/d)",https://www.stepstone.de/stellenangebote--Software-Engineer-Java-Cloud-Microservices-m-w-d-Ottobrunn-bei-Muenchen-IABG-Industrieanlagen-Betriebsgesellschaft-mbH--13940485-inline.html,Passt gut,vor 3 Tagen
"Software Engineer – Java, Cloud & Microservices (m/w/d)",https://www.stepstone.de/stellenangebote--Software-Engineer-Java-Cloud-Microservices-m-w-d-Ottobrunn-bei-Muenchen-IABG-Industrieanlagen-Betriebsgesellschaft-mbH--13725719-inline.html,Passt gut,vor 3 Wochen
Team Lead – Machine Software (m/f/d),https://www.stepstone.de/stellenangebote--Team-Lead-Machine-Software-m-f-d-Muenchen-EGYM-SE--13932214-inline.html,Passt gut,vor 6 Tagen
Software Developer mit Open Search Expertise (m/w/d),https://www.stepstone.de/stellenangebote--Software-Developer-mit-Open-Search-Expertise-m-w-d-bundesweit-Berlin-Frankfurt-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--13754067-inline.html,Passt gut,vor 2 Wochen
Softwaretester für Applikationen & Cloud Services (m/w/d),https://www.stepstone.de/stellenangebote--Softwaretester-fuer-Applikationen-Cloud-Services-m-w-d-Ottobrunn-bei-Muenchen-IABG-Industrieanlagen-Betriebsgesellschaft-mbH--13940537-inline.html,Passt gut,vor 3 Tagen
Senior Softwareentwickler (m/w/d) Microsoft Dynamics 365 Business Central,https://www.stepstone.de/stellenangebote--Senior-Softwareentwickler-m-w-d-Microsoft-Dynamics-365-Business-Central-Muenster-Stuttgart-Lauf-an-der-Pegnitz-Nuernberg-Muenchen-Essen-GWS-Gesellschaft-fuer-Warenwirtschafts-Systeme-mbH--13888383-inline.html,Passt gut,vor 2 Tagen
Senior Software Service Technician (m/w/d),https://www.stepstone.de/stellenangebote--Senior-Software-Service-Technician-m-w-d-Muenchen-Fujitsu--13900916-inline.html,Passt gut,vor 2 Wochen
Lead Cloud Software Architect - Transport & Logistics Solutions (w/m/x),https://www.stepstone.de/stellenangebote--Lead-Cloud-Software-Architect-Transport-Logistics-Solutions-w-m-x-Erfurt-Muenchen-Frankfurt-a-M-Stuttgart-Koeln-Hamburg-Ettlingen-Wolfsburg-Rosenheim-Berlin-NTT-DATA--13808464-inline.html,Passt gut,vor 4 Tagen
Softwaretester / Software Testingenieur (m/w/d),https://www.stepstone.de/stellenangebote--Softwaretester-Software-Testingenieur-m-w-d-Muenchen-FERCHAU-Connecting-People-and-Technologies--13747778-inline.html,Passt gut,vor 2 Wochen
Software Engineer Conversational AI (all genders),https://www.stepstone.de/stellenangebote--Software-Engineer-Conversational-AI-all-genders-Augsburg-Karlsruhe-Koblenz-Nuernberg-Saarbruecken-Stuttgart-Ulm-Walldorf-adesso-SE--13911822-inline.html,Passt gut,vor 1 Woche
Mitarbeiter Serienbetreuung Software (m/w/d),https://www.stepstone.de/stellenangebote--Mitarbeiter-Serienbetreuung-Software-m-w-d-Penzberg-Rheinmetall--13757760-inline.html,Passt gut,vor 2 Wochen
Java Softwareentwickler - API & Backend (m/w/d),https://www.stepstone.de/stellenangebote--Java-Softwareentwickler-API-Backend-m-w-d-Muenchen-Bayerische-Versorgungskammer--13910320-inline.html,Passt gut,vor 1 Woche
Senior Backend Engineer Video/Realtime (m/w/d),https://www.stepstone.de/stellenangebote--Senior-Backend-Engineer-Video-Realtime-m-w-d-Bonn-Frankfurt-Hamburg-Hannover-Muenchen-Nuernberg-Ulm-Berlin-Leipzig-BWI-GmbH--13941056-inline.html,Passt gut,vor 3 Tagen
Lead Developer / Software Architect - Hybrid (m/w/d),https://www.stepstone.de/stellenangebote--Lead-Developer-Software-Architect-Hybrid-m-w-d-Duesseldorf-Eschborn-Hamburg-Muenchen-Nuernberg-Stuttgart-Randstad-Digital-Germany-AG--13561286-inline.html,Passt gut,vor 2 Tagen
Software Architect Einführungsprojekte (all genders),https://www.stepstone.de/stellenangebote--Software-Architect-Einfuehrungsprojekte-all-genders-Duesseldorf-Frankfurt-Koeln-Essen-Hamburg-Muenchen-weitere-Standorte-in-DE-adesso-insurance-solutions-GmbH--13949084-inline.html,Passt gut,vor 3 Tagen
IT-Projektleiter (m/w/d) Defence,https://www.stepstone.de/stellenangebote--IT-Projektleiter-m-w-d-Defence-Muenchen-ACONEXT--13841829-inline.html,Passt gut,vor 1 Woche
Cloud Software / Solution Architect (w|m|d) – KRITIS Umfelder,https://www.stepstone.de/stellenangebote--Cloud-Software-Solution-Architect-wmd-KRITIS-Umfelder-Frankfurt-a-M-Berlin-Hamburg-Koeln-Mannheim-Muenchen-Nuernberg-Stuttgart-BridgingIT-GmbH--13807974-inline.html,Passt gut,vor 5 Tagen
Simulation & Software Engineer (m/w/d),https://www.stepstone.de/stellenangebote--Simulation-Software-Engineer-m-w-d-Ottobrunn-bei-Muenchen-IABG-Industrieanlagen-Betriebsgesellschaft-mbH--13751523-inline.html,Passt gut,vor 2 Wochen
Lead Cloud Software Architect - Retail & Consumer Goods Solutions (w/m/x),https://www.stepstone.de/stellenangebote--Lead-Cloud-Software-Architect-Retail-Consumer-Goods-Solutions-w-m-x-Erfurt-Muenchen-Frankfurt-a-M-Stuttgart-Koeln-Hamburg-Ettlingen-Wolfsburg-Rosenheim-Berlin-NTT-DATA--13808466-inline.html,Passt gut,vor 5 Tagen
(Senior) Software Developer / Architect (w|m|d),https://www.stepstone.de/stellenangebote--Senior-Software-Developer-Architect-wmd-Hamburg-Berlin-Frankfurt-a-M-Koeln-Magdeburg-Mannheim-Muenchen-Stuttgart-BridgingIT-GmbH--13785865-inline.html,Passt gut,vor 1 Woche
Senior Anwendungsentwickler / Programmierer (m/w/d),https://www.stepstone.de/stellenangebote--Senior-Anwendungsentwickler-Programmierer-m-w-d-Kirchdorf-Diesel-Technic-SE--13843013-inline.html,Passt gut,vor 1 Woche
GenAI Engineering Coach (all genders),https://www.stepstone.de/stellenangebote--GenAI-Engineering-Coach-all-genders-Augsburg-Karlsruhe-Koblenz-Muenchen-Nuernberg-Saarbruecken-Stuttgart-Ulm-Walldorf-adesso-SE--13911887-inline.html,Passt gut,vor 1 Woche
Software Engineer DevOps for Embedded (m/f/d),https://www.stepstone.de/stellenangebote--Software-Engineer-DevOps-for-Embedded-m-f-d-Kaufering-bei-Muenchen-Hilti-Deutschland-AG--13853987-inline.html,Passt gut,vor 1 Woche
Softwareentwickler Java (Mensch*),https://www.stepstone.de/stellenangebote--Softwareentwickler-Java-Mensch-Muenchen-Koeln-Faktor-Zehn-GmbH--13876134-inline.html,Passt gut,vor 3 Tagen
Entwickler (w/m/d) ABAS ERP-System,https://www.stepstone.de/stellenangebote--Entwickler-w-m-d-ABAS-ERP-System-Garching-bei-Muenchen-KARE-Design-GmbH--13555481-inline.html,Passt gut,vor 2 Stunden
Embedded Software Developer - Security Protocol (m/w/d),https://www.stepstone.de/stellenangebote--Embedded-Software-Developer-Security-Protocol-m-w-d-Muenchen-Rohde-Schwarz-GmbH-Co-KG--13368018-inline.html,Passt gut,vor 2 Tagen
(Senior) Robotics Testing and Applications Engineer (m/f/d),https://www.stepstone.de/stellenangebote--Senior-Robotics-Testing-and-Applications-Engineer-m-f-d-Muenchen-Agile-Robots-SE--13901996-inline.html,Passt gut,vor 1 Woche
"Professorin / Professor (m/w/d) – BesGr W2 für Informatik, insbesondere Cloud Computing",https://www.stepstone.de/stellenangebote--Professorin-Professor-m-w-d-BesGr-W2-fuer-Informatik-insbesondere-Cloud-Computing-Rosenheim-Hochschule-Rosenheim--13868604-inline.html,Passt gut,vor 4 Tagen
Softwareentwickler Java (m/w/d) - Java Engineer,https://www.stepstone.de/stellenangebote--Softwareentwickler-Java-m-w-d-Java-Engineer-Duesseldorf-Koeln-Muenster-Dortmund-Muenchen-Ratbacher-GmbH--13841180-inline.html,Passt gut,vor 3 Wochen
Embedded Software Engineer (m/f/d),https://www.stepstone.de/stellenangebote--Embedded-Software-Engineer-m-f-d-Starnberg-eMoSys-GmbH--13902230-inline.html,Passt gut,vor 2 Wochen
Solution Architect (gn) AI Software,https://www.stepstone.de/stellenangebote--Solution-Architect-gn-AI-Software-Graefelfing-bei-Muenchen-Ingenics-Digital-GmbH--13914551-inline.html,Passt gut,vor 1 Woche
Senior CAL / AL Developer (m/w/d),https://www.stepstone.de/stellenangebote--Senior-CAL-AL-Developer-m-w-d-Kirchdorf-Diesel-Technic-SE--13843004-inline.html,Passt gut,vor 1 Woche
Anwendungsentwickler (w/m/d) ABAS ERP-System,https://www.stepstone.de/stellenangebote--Anwendungsentwickler-w-m-d-ABAS-ERP-System-Garching-bei-Muenchen-KARE-Design-GmbH--13529152-inline.html,Passt gut,vor 3 Tagen
Software Architect Java (m/w/d),https://www.stepstone.de/stellenangebote--Software-Architect-Java-m-w-d-Berlin-Dortmund-Dresden-Duesseldorf-Frankfurt-Hamburg-Hannover-Koeln-Muenchen-Stuttgart-Materna-Information-Communications-SE--13716745-inline.html,Passt gut,vor 3 Wochen
"Validation Engineer - Context, Semantics & Memory (f/m/x)",https://www.stepstone.de/stellenangebote--Validation-Engineer-Context-Semantics-Memory-f-m-x-Muenchen-BMW-Group--13932222-inline.html,Passt gut,vor 5 Tagen
AI Solution & Automation Engineer (m/w/d),https://www.stepstone.de/stellenangebote--AI-Solution-Automation-Engineer-m-w-d-Putzbrunn-Truma-Geraetetechnik-GmbH-Co-KG--13916796-inline.html,Passt gut,vor 1 Woche
Testingenieur - Software / Hardware (m/w/d),https://www.stepstone.de/stellenangebote--Testingenieur-Software-Hardware-m-w-d-Muenchen-FERCHAU-Connecting-People-and-Technologies--13490856-inline.html,Passt gut,vor 3 Wochen
"Cloud Engineer (w|m|d) - Dein Stack: Beratung, Plattformdenken, Automatisierung",https://www.stepstone.de/stellenangebote--Cloud-Engineer-wmd-Dein-Stack-Beratung-Plattformdenken-Automatisierung-Mannheim-Frankfurt-a-M-Karlsruhe-Koeln-Magdeburg-Muenchen-Nuernberg-Stuttgart-BridgingIT-GmbH--13785855-inline.html,Passt gut,vor 1 Woche
Softwareentwickler in Linux (m/w/d),https://www.stepstone.de/stellenangebote--Softwareentwickler-in-Linux-m-w-d-Muenchen-FERCHAU-Connecting-People-and-Technologies--13491075-inline.html,Passt gut,vor 3 Wochen
Azure/ Cloud Engineer (w/m/d),https://www.stepstone.de/stellenangebote--Azure-Cloud-Engineer-w-m-d-Berlin-Bonn-Frankfurt-Hamburg-Muenchen-Nuernberg-Wien-Senacor-Technologies-AG--7907318-inline.html,Passt gut,vor 13 Stunden
Software Architect Conversational AI (all genders),https://www.stepstone.de/stellenangebote--Software-Architect-Conversational-AI-all-genders-Augsburg-Karlsruhe-Koblenz-Muenchen-Nuernberg-Saarbruecken-Stuttgart-Ulm-Walldorf-adesso-SE--13911819-inline.html,Passt gut,vor 1 Woche
